index-entry-number,entry-number,entry-timestamp,key,statistical-geography,name,area,organisation,register,start-date,end-date
130,130,2017-08-04T15:14:55Z,S30,S30,"Local Administrative Units 1",,"government-organisation:DA1020",,2013-11-01,
129,129,2017-08-04T15:14:55Z,S29,S29,"Census Local Characteristics",,"government-organisation:OT1075",,2013-11-01,
128,128,2017-08-04T15:14:55Z,S28,S28,"Census Detailed Characteristics",,"government-organisation:OT1075",,2013-11-01,
127,127,2017-08-04T15:14:55Z,S27,S27,"ISD Health Board of Treatment",,,,2013-11-01,
126,126,2017-08-04T15:14:55Z,S26,S26,"Community Health Partnerships sub-areas",,"government-organisation:DA1020",,2013-11-01,
125,125,2017-08-04T15:14:55Z,S25,S25,"Community Justice Authorities",,"government-organisation:DA1020",,2009-01-01,
124,124,2017-08-04T15:14:55Z,S24,S24,"Highlands and Islands Enterprise",,,,2009-01-01,
123,123,2017-08-04T15:14:55Z,S23,S23,"Police Force Areas",,"government-organisation:DA1020",,2009-01-01,
122,122,2017-08-04T15:14:55Z,S22,S22,"Travel to Work Areas",,"government-organisation:D303",,2009-01-01,
121,121,2017-08-04T15:14:55Z,S21,S21,"National Parks",,"government-organisation:DA1020",,2009-01-01,
120,120,2017-08-04T15:14:55Z,S20,S20,Settlements,,"government-organisation:OT1075",,2009-01-01,
119,119,2017-08-04T15:14:55Z,S19,S19,Localities,,"government-organisation:OT1075",,2009-01-01,
118,118,2017-08-04T15:14:55Z,S17,S17,"Scottish Parliamentary Regions",,,,2009-01-01,
117,117,2017-08-04T15:14:55Z,S16,S16,"Scottish Parliamentary Constituencies",,,,2009-01-01,
116,116,2017-08-04T15:14:55Z,S15,S15,"European Electoral Regions",,,,2009-01-01,
115,115,2017-08-04T15:14:55Z,S14,S14,"Westminster Parliamentary Constituencies",,,,2009-01-01,
114,114,2017-08-04T15:14:55Z,S13,S13,"Electoral Wards",,,,2009-01-01,
113,113,2017-08-04T15:14:55Z,S12,S12,"Council Areas",,,,2009-01-01,
112,112,2017-08-04T15:14:55Z,S11,S11,"Strategic Development Plan Areas",,"government-organisation:DA1020",,2009-01-01,
111,111,2017-08-04T15:14:55Z,S10,S10,"Urban Regeneration Companies",,"government-organisation:DA1020",,2009-01-01,
110,110,2017-08-04T15:14:55Z,S09,S09,"Enterprise Regions",,,,2009-01-01,
109,109,2017-08-04T15:14:55Z,S08,S08,"Health Board areas",,"government-organisation:DA1020",,2009-01-01,
108,108,2017-08-04T15:14:55Z,S07,S07,"Regional Transport Partnerships",,"government-organisation:DA1020",,2009-01-01,
107,107,2017-08-04T15:14:55Z,S06,S06,"Regeneration Outcome Areas - Local Areas",,"government-organisation:DA1020",,2009-01-01,
106,106,2017-08-04T15:14:55Z,S05,S05,"Regeneration Outcome Areas - Community Planning Partnerships",,"government-organisation:DA1020",,2009-01-01,
105,105,2017-08-04T15:14:55Z,S04,S04,"Regeneration Outcome Agreement Areas - Scotland",,"government-organisation:DA1020",,2009-01-01,
104,104,2017-08-04T15:14:55Z,S03,S03,"Community Health Partnerships",,"government-organisation:DA1020",,2009-01-01,
103,103,2017-08-04T15:14:55Z,S02,S02,"Intermediate Zones",,"government-organisation:DA1020",,2009-01-01,
102,102,2017-08-04T15:14:55Z,S01,S01,"Data Zones",,"government-organisation:DA1020",,2009-01-01,
101,101,2017-08-04T15:14:55Z,S00,S00,"Output Areas",,"government-organisation:OT1075",,2009-01-01,
100,100,2017-08-04T15:14:55Z,S92,S92,Country,,"government-organisation:D303",,2009-01-01,
99,99,2017-08-04T15:14:55Z,W41,W41,"Local Resilience Forums",,"government-organisation:D4",,2015-07-23,
98,98,2017-08-04T15:14:55Z,W40,W40,"Census Merged Local Authority Districts",,"government-organisation:D303",,2013-04-01,
97,97,2017-08-04T15:14:55Z,W39,W39,"Census Merged Wards",,"government-organisation:D303",,2013-01-31,
96,96,2017-08-04T15:14:55Z,W38,W38,"Built-up Area sub-divisions",,"government-organisation:D303",,2013-06-27,
95,95,2017-08-04T15:14:55Z,W37,W37,"Built-up Areas",,"government-organisation:D303",,2013-06-27,
94,94,2017-08-04T15:14:55Z,W36,W36,"Footprint Regions for Public Service Collaboration",,"government-organisation:DA1019",,2011-09-01,
93,93,2017-08-04T15:14:55Z,W35,W35,"Workplace Zones",,"government-organisation:D303",,2013-01-31,
92,92,2017-08-04T15:14:55Z,W34,W34,"Non-Communities First Areas",,,,2011-01-01,
91,91,2017-08-04T15:14:55Z,W33,W33,"Communities First Areas",,,,2011-01-01,
90,90,2017-08-04T15:14:55Z,W32,W32,"Non-Strategic Regeneration Area",,,,2010-10-31,
89,89,2017-08-04T15:14:55Z,W31,W31,"Non-National Park Area",,,,2010-10-31,
88,88,2017-08-04T15:14:55Z,W30,W30,"Agricultural Small Areas",,,,2010-10-31,
87,87,2017-08-04T15:14:55Z,W29,W29,"Agricultural Regions",,,,2010-10-31,
86,86,2017-08-04T15:14:55Z,W28,W28,"Transport Consortia Areas",,,,2010-05-06,
85,85,2017-08-04T15:14:55Z,W27,W27,"Strategic Regeneration Sub-areas",,,,2010-05-06,
84,84,2017-08-04T15:14:55Z,W26,W26,"Strategic Regeneration Areas",,,,2010-05-06,
83,83,2017-08-04T15:14:55Z,W25,W25,"Fire and Rescue Authorities",,"government-organisation:D4",,2009-01-01,
82,82,2017-08-04T15:14:55Z,W24,W24,"Spatial Plan Sub-areas",,,,2009-01-01,
81,81,2017-08-04T15:14:55Z,W23,W23,"Spatial Plan Areas",,,,2009-01-01,
80,80,2017-08-04T15:14:55Z,W22,W22,"Travel to Work Areas",,"government-organisation:D303",,2009-01-01,
79,79,2017-08-04T15:14:55Z,W21,W21,"Registration Sub-district",,"government-organisation:D303",,2009-01-01,
77,77,2017-08-04T15:14:55Z,W19,W19,"National Assembly Economic Regions",,,,2009-01-01,
76,76,2017-08-04T15:14:55Z,W18,W18,"National Parks",,,,2009-01-01,
75,75,2017-08-04T15:14:55Z,W16,W16,"Department for Children, Education, Lifelong Learning and Skills, WG",,,,2009-01-01,
74,74,2017-08-04T15:14:55Z,W15,W15,"Police Force Areas",,"government-organisation:D16",,2009-01-01,
73,73,2017-08-04T15:14:55Z,W14,W14,"Community Safety Partnerships",,"government-organisation:D16",,2009-01-01,
72,72,2017-08-04T15:14:55Z,W13,W13,"Cancer Networks",,"government-organisation:PB1202",,2009-01-01,
71,71,2017-08-04T15:14:55Z,W12,W12,"Cancer Registries",,"government-organisation:PB1202",,2009-01-01,
70,70,2017-08-04T15:14:55Z,W11,W11,"Local Health Boards",,,,2009-01-01,
69,69,2017-08-04T15:14:55Z,W10,W10,"National Assembly for Wales Electoral Regions",,"government-organisation:OT432",,2009-01-01,
68,68,2017-08-04T15:14:55Z,W09,W09,"National Assembly for Wales Constituencies",,"government-organisation:OT432",,2009-01-01,
67,67,2017-08-04T15:14:55Z,W08,W08,"European Electoral Regions",,"government-organisation:OT432",,2009-01-01,
66,66,2017-08-04T15:14:55Z,W07,W07,"Westminster Parliamentary Constituencies",,"government-organisation:OT432",,2009-01-01,
65,65,2017-08-04T15:14:55Z,W06,W06,"Unitary Authorities",,,"statistical-geography-unitary-authority-wls",2009-01-01,
64,64,2017-08-04T15:14:55Z,W05,W05,"Electoral Wards",,,,2009-01-01,
63,63,2017-08-04T15:14:55Z,W04,W04,Communities,,,,2009-01-01,
62,62,2017-08-04T15:14:55Z,W03,W03,"Super Output Areas, Upper Layer",,,,2009-01-01,
61,61,2017-08-04T15:14:55Z,W02,W02,"Super Output Areas, Middle Layer",,"government-organisation:D303",,2009-01-01,
60,60,2017-08-04T15:14:55Z,W01,W01,"Super Output Areas, Lower Layer",,"government-organisation:D303",,2009-01-01,
59,59,2017-08-04T15:14:55Z,W00,W00,"Output Areas",,"government-organisation:D303",,2009-01-01,
58,58,2017-08-04T15:14:55Z,W92,W92,Country,,"government-organisation:D303",,2009-01-01,
57,57,2017-08-04T15:14:55Z,E57,E57,"National Cancer Vanguards",,"government-organisation:PB481",,2016-11-23,
56,56,2017-08-04T15:14:55Z,E56,E56,"Cancer Alliances",,"government-organisation:PB481",,2016-11-23,
55,55,2017-08-04T15:14:55Z,E55,E55,"Strategic Clinical Networks",,"government-organisation:PB1202",,2016-09-01,
54,54,2017-08-04T15:14:55Z,E54,E54,"Sustainability and Transformation Partnerships",,"government-organisation:PB481",,2016-04-22,
53,53,2017-08-04T15:14:55Z,E53,E53,"LEP - non overlapping part",,"government-organisation:D3",,2016-04-22,
52,52,2017-08-04T15:14:55Z,E52,E52,"LEP - overlapping part",,"government-organisation:D3",,2016-04-22,
51,51,2017-08-04T15:14:55Z,E51,E51,"Development Corporations",,"government-organisation:D4",,2016-04-22,
50,50,2017-08-04T15:14:55Z,E50,E50,"Waste Authorities",,"government-organisation:D7",,2016-04-22,
49,49,2017-08-04T15:14:55Z,E49,E49,"Enterprise Zones",,"government-organisation:D4",,2016-02-01,
48,48,2017-08-04T15:14:55Z,E48,E48,"Local Resilience Forums",,"government-organisation:D4",,2015-07-23,
47,47,2017-08-04T15:14:55Z,E47,E47,"Combined Authorities",,"government-organisation:D4",,2015-07-10,
46,46,2017-08-04T15:14:55Z,E46,E46,"Public Health England Regions",,"government-organisation:EA480",,2014-06-03,
45,45,2017-08-04T15:14:55Z,E45,E45,"Public Health England Centres",,"government-organisation:EA480",,2014-06-03,
44,44,2017-08-04T15:14:55Z,E43,E43,"Non-Civil Parished Areas",,"government-organisation:D303",,2013-11-01,
43,43,2017-08-04T15:14:55Z,E42,E42,"Census Merged Counties",,"government-organisation:D303",,2013-04-01,
42,42,2017-08-04T15:14:55Z,E41,E41,"Census Merged Local Authority Districts",,"government-organisation:D303",,2013-04-01,
41,41,2017-08-04T15:14:55Z,E40,E40,"NHS England Regions",,"government-organisation:PB1202",,2013-04-01,
40,40,2017-08-04T15:14:55Z,E39,E39,"NHS England (Region, Local Office)",,"government-organisation:PB1202",,2013-04-01,
39,39,2017-08-04T15:14:55Z,E38,E38,"Clinical Commissioning Groups",,"government-organisation:PB1202",,2013-04-01,
38,38,2017-08-04T15:14:55Z,E37,E37,"Local Enterprise Partnerships",,"government-organisation:D3",,2012-07-31,
37,37,2017-08-04T15:14:55Z,E36,E36,"Census Merged Wards",,"government-organisation:D303",,2013-01-31,
36,36,2017-08-04T15:14:55Z,E35,E35,"Built-up Area sub-divisions",,"government-organisation:D303",,2013-06-27,
35,35,2017-08-04T15:14:55Z,E34,E34,"Built-up Areas",,"government-organisation:D303",,2013-06-27,
34,34,2017-08-04T15:14:55Z,E33,E33,"Workplace Zones",,"government-organisation:D303",,2013-01-31,
33,33,2017-08-04T15:14:55Z,E32,E32,"London Assembly Constituencies",,local-authority-eng:GLA,,2009-05-06,
32,32,2017-08-04T15:14:55Z,E31,E31,"Fire and Rescue Authorities",,"government-organisation:D4",,2009-01-01,
31,31,2017-08-04T15:14:55Z,E30,E30,"Travel to Work Areas",,"government-organisation:D303",,2009-01-01,
30,30,2017-08-04T15:14:55Z,E29,E29,"Registration Sub-district",,"government-organisation:D303",,2009-01-01,
28,28,2017-08-04T15:14:55Z,E27,E27,"New Deal for Communities",,"government-organisation:D4",,2009-01-01,
27,27,2017-08-04T15:14:55Z,E26,E26,"National Parks",,"government-organisation:PB202",,2009-01-01,
26,26,2017-08-04T15:14:55Z,E25,E25,"Primary Urban Areas",,"government-organisation:D4",,2009-01-01,
25,25,2017-08-04T15:14:55Z,E24,E24,"Local Learning and Skills Council areas",,"government-organisation:D303",,2009-01-01,
24,24,2017-08-04T15:14:55Z,E23,E23,"Police Force Areas",,"government-organisation:D16",,2009-01-01,
23,23,2017-08-04T15:14:55Z,E22,E22,"Community Safety Partnerships",,"government-organisation:D16",,2009-01-01,
22,22,2017-08-04T15:14:55Z,E21,E21,"Cancer Networks",,"government-organisation:PB1202",,2009-01-01,
21,21,2017-08-04T15:14:55Z,E20,E20,"Cancer Registries",,"government-organisation:EA480",,2009-01-01,
20,20,2017-08-04T15:14:55Z,E19,E19,"Pan Strategic Health Authorities",,"government-organisation:PB1202",,2009-01-01,
19,19,2017-08-04T15:14:55Z,E18,E18,"Strategic Health Authorities",,"government-organisation:PB1202",,2009-01-01,
18,18,2017-08-04T15:14:55Z,E17,E17,"Care Trusts",,"government-organisation:PB1202",,2009-01-01,
17,17,2017-08-04T15:14:55Z,E16,E16,"Primary Care Trusts",,"government-organisation:PB1202",,2009-01-01,
16,16,2017-08-04T15:14:55Z,E15,E15,"European Electoral Regions",,"government-organisation:D303",,2009-01-01,
15,15,2017-08-04T15:14:55Z,E14,E14,"Westminster Parliamentary Constituencies",,,,2009-01-01,
14,14,2017-08-04T15:14:55Z,E13,E13,"Inner and Outer London",,"government-organisation:D4",,2009-01-01,
13,13,2017-08-04T15:14:55Z,E12,E12,Regions,,"government-organisation:D303",,2009-01-01,
12,12,2017-08-04T15:14:55Z,E11,E11,"Metropolitan Counties",,"government-organisation:D4",,2009-01-01,
6,6,2017-08-04T15:14:55Z,E05,E05,"Electoral Wards/Divisions",,"government-organisation:D4",,2009-01-01,
5,5,2017-08-04T15:14:55Z,E04,E04,"Civil Parishes",,"government-organisation:D4",,2009-01-01,
4,4,2017-08-04T15:14:55Z,E02,E02,"Super Output Areas, Middle Layer",,"government-organisation:D303",,2009-01-01,
3,3,2017-08-04T15:14:55Z,E01,E01,"Super Output Areas, Lower Layer",,"government-organisation:D303",,2009-01-01,
2,2,2017-08-04T15:14:55Z,E00,E00,"Output Areas",,"government-organisation:D303",,2009-01-01,
1,1,2017-08-04T15:14:55Z,E92,E92,Country,,"government-organisation:D303",,2009-01-01,
