index-entry-number,entry-number,entry-timestamp,key,"ddat-profession-capability-framework-skill",name,description,start-date,end-date
85,85,2018-07-02T17:11:10Z,1087,1087,Prototyping,"Able to apply technical knowledge and experience to create or design workable prototypes, both programs and physical outputs. Understands parameters, restrictions and synergies.",,
84,84,2018-07-02T17:11:10Z,1086,1086,"Programming and build (software engineering)","Uses agreed security standards and specifications to design, create, test and document new or amended software.",,
83,83,2018-07-02T17:11:10Z,1085,1085,"Programming and build (software engineering – management)","Designs, creates, tests and documents new and amended software components from supplied specifications in accordance with agreed development and security standards and processes.",,
82,82,2018-07-02T17:11:10Z,1084,1084,"Programming and build (data science)","Uses a range of coding practices to build scalable data products that can be used by strategic or operational users and can be further integrated into business systems. Works with technologists to design, create, test and document these data products. Works in accordance with agreed software development standards, including security, accessibility and version control.",,
81,81,2018-07-02T17:11:10Z,1083,1083,"Programming and build (data engineering)","Designs, writes and iterates code from prototype to production-ready. Understands security, accessibility and version control. Can use a range of coding tools and languages.",,
80,80,2018-07-02T17:11:10Z,1082,1082,"Product ownership","Uses a range of product management principles and approaches. Captures and translates user needs into deliverables. Able to define the minimum viable product and make decisions about priorities. Writes stories and acceptance criteria. Capable of working with a range of specialists in multidisciplinary teams.",,
79,79,2018-07-02T17:11:10Z,1081,1081,"Problem solving","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
78,78,2018-07-02T17:11:10Z,1080,1080,"Problem resolution (data)","Logs, analyses and manages problems in order to identify and implement the appropriate solution. Ensures that the problem is fixed.",,
77,77,2018-07-02T17:11:10Z,1079,1079,"Problem ownership","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
76,76,2018-07-02T17:11:10Z,1078,1078,"Problem management","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
75,75,2018-07-02T17:11:10Z,1077,1077,Planning,"Able to take a continuous approach to planning, forecasting, estimating, managing uncertainty, metrics and measurements, contingency planning and roadmapping. Able to communicate the plan, planning assumptions and progress to a range of stakeholders. Maintains the cadence of delivery and manages the relationships between different people within and across teams.",,
74,74,2018-07-02T17:11:10Z,1076,1076,"Performance measurement","Enables the team to develop a performance framework including key performance indicators (KPIs) for a service or product. Provides the intelligence to support the formulation of both short-term and long-term strategic plans. Is able to identify and analyse options, and assess their feasibility and operational impact. Ensures that business solutions are aligned with strategy, business goals and end user needs.",,
73,73,2018-07-02T17:11:10Z,1075,1075,"Ownership and initiative","Takes ownership of problems and proactively resolves technical problems, ensuring that technical solutions continue to meet business requirements. Takes full accountability for actions taken and decisions made.",,
72,72,2018-07-02T17:11:10Z,1074,1074,"Operational management","Able to manage the operational process of designing and running a product or service throughout its entire life-cycle. Able to implement best practice in new product or service development and knows how to plan and operationalise the stages of new product or service development. Able to overcome operational constraints to deliver a successful product or service. Works closely with other operational delivery teams.",,
71,71,2018-07-02T17:11:10Z,1072,1072,"Non-functional testing","Able to analyse changes to, or the development of, products and services and plan design in a non-functional environment. Able to run and manage appropriate non-functional tests to ensure that requirements have been fully met. Understands and is able to identify the most effective techniques, data sets and non-functional testing tools. Able to communicate defects or trends clearly to software developers, outlining how defects are identified and possible causes. Able to design or provide assurance for appropriate risk-based end-to-end system integration test models.",,
70,70,2018-07-02T17:11:10Z,1071,1071,"Modern standards approach","Uses a modern standards approach throughout automation and testing.",,
69,69,2018-07-02T17:11:10Z,1070,1070,"Methods and tools","Uses the most appropriate methods and tools, ensuring these are adopted and used to plan, develop, test, manage and maintain a system effectively throughout an organisation.",,
68,68,2018-07-02T17:11:10Z,1069,1069,"Metadata management","Understands a variety of metadata management tools. Designs and maintains the appropriate metadata repositories to enable the organisation to understand their data assets.",,
67,67,2018-07-02T17:11:10Z,1068,1068,"Making the process work","Focuses on the outcome. Able to challenge and improve disproportionate organisational processes where it impacts the pace of the team. Able to identify what works best for the team and when to utilise certain processes. Understands that all steps in a process must add value. Able to influence and make positive changes to the organisation.",,
66,66,2018-07-02T17:11:10Z,1067,1067,"Making and guiding decisions","Capable of making and guiding effective decisions, explaining clearly how the decision has been reached. The ability to understand and resolve technical disputes across varying levels of complexity and risk.",,
65,65,2018-07-02T17:11:10Z,1066,1066,"Maintaining delivery momentum","Able to solve issues and unblock problems. Drives teams and sets the pace, ensuring teams are working towards delivery commitments. Able to engage in elements of risk management such as effectively managing and tracking the mitigation of risks. Able to manage various dependencies across teams, departments and government as a whole.",,
64,64,2018-07-02T17:11:10Z,1065,1065,"Lifecycle perspective","Understands the different phases of product delivery and is able to contribute to, plan or run these. Able to maintain a product or process through the delivery phases, through to live and into retirement. Able to lead a team through the different phases of the delivery lifecycle. Can maintain and iterate a product over time to continuously meet user needs. Understands and is aware of incident management and service support so that products are built effectively.",,
63,63,2018-07-02T17:11:10Z,1064,1064,"Leadership and guidance","Interprets vision to lead on decisions. Creates a continually collaborative environment and sustains a good service. Understands and resolves technical disputes across varying levels of complexity and risk. Solves issues and unblocks problems. Drives teams and sets the pace, ensuring teams are delivering. Manages risk including effectively managing and tracking the mitigation of risks. Manages various dependencies across teams, departments and government as a whole.",,
62,62,2018-07-02T17:11:10Z,1063,1063,"IT infrastructure (network architect)","Supports, designs and implements infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS and SaaS.",,
61,61,2018-07-02T17:11:10Z,1062,1062,"IT infrastructure","Supports, designs and implements infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS and SaaS.",,
60,60,2018-07-02T17:11:10Z,1061,1061,Innovation,"Ability to identify and pinpoint business opportunities to allow organisations to perform more effectively. This allows businesses to look at new ways of tackling business processes or to establish new services from scratch.",,
59,59,2018-07-02T17:11:10Z,1060,1060,"Information security (including mitigation)","Maintains the security, confidentiality and integrity of information systems through the compliance with relevant legislation and regulations. Articulates risks and explores options and solutions for mitigation. Will design, implement and operate controls and management strategies to allow this.",,
58,58,2018-07-02T17:11:10Z,1059,1059,"Information security","Maintains the security, confidentiality and integrity of information systems through compliance with relevant legislation and regulations. Designs, implements and operates controls and management strategies to allow this.",,
57,57,2018-07-02T17:11:10Z,1058,1058,"Inclusive research","Understands the diversity of users of government services. Knows how to include all kinds of users in appropriate research activities to help teams deliver accessible services.",,
56,56,2018-07-02T17:11:10Z,1057,1057,"Incident management","Co-ordinates the response to incident reports, ensuring relevant prioritisation and detail to allow effective investigation. Identifies the correct procedures or channels for resolution and monitors resolution activity and progress updates to customers. Understands key change management tools and processes.",,
55,55,2018-07-02T17:11:10Z,1056,1056,"Governance and assurance","Understands technical governance and is able to participate in or deliver the assurance of a service. This capability becomes increasingly critical at senior role levels.",,
54,54,2018-07-02T17:11:10Z,1055,1055,Governance,"Understands technical governance and is able to participate in or deliver the assurance of a service. This capability becomes increasingly critical at senior role levels.",,
53,53,2018-07-02T17:11:10Z,1054,1054,"Functional testing","Able to analyse changes to, or the development of, products and services and plan design. Able to run and manage appropriate tests to ensure that requirements have been fully met. Understands and is able to identify the most effective techniques, data sets and tools to use. Able to communicate defects or trends clearly to software developers, outlining how defects are identified and the possible causes. Able to design, or provide assurance for, appropriate risk-based end-to-end system integration test models.",,
52,52,2018-07-02T17:11:10Z,1053,1053,"Financial ownership","Able to secure funding for agile delivery through a business case and through delivering a good pitch in government. Capable of prioritising spending based on return on investment (ROI) and strategic intent; this may include contract ownership and accountability for realisation of benefits.",,
51,51,2018-07-02T17:11:10Z,1052,1052,"Financial management","Able to support effective budget management within the constraints of the project. Retains a continued awareness of the budget against actual cost incurred.",,
50,50,2018-07-02T17:11:10Z,1051,1051,"Facilitating decisions and risks","Capable of making and guiding effective decisions, explaining clearly how the decision has been reached. Has the ability to understand technical complexity and risks, run collaborative design activities, influence others and build consensus.",,
49,49,2018-07-02T17:11:10Z,1050,1050,"Evidence and context-based design","Visualises, articulates, and solves complex problems and concepts, and makes disciplined decisions based on available information and research evidence. Able to move from analysis to synthesis and/or design intent. such skills include: demonstration of the ability to apply logical thinking, gathering and analysing information and evidencing key performance indicators.",,
48,48,2018-07-02T17:11:10Z,1049,1049,"Enterprise and business architecture","Maintains and constantly iterates the structures which make up a business enterprise or architecture. Embodies the methods which prescribe an organisation’s future state and must also allow for change. Assesses current capabilities, identifies and interprets business objectives, strategy and inter-relationships with people, data, processes to create an operating model. Develops this process helping to define any constraints or guiding principles needed to allow for governance and evolution in order to allow for an achievable transition to the new state.",,
47,47,2018-07-02T17:11:10Z,1048,1048,"Enabling and informing risk based decisions","Capable of making and guiding effective decisions on risk, explaining clearly how the decision has been reached. Able to make decisions proportionate to the level of technical complexity and risk.",,
46,46,2018-07-02T17:11:10Z,1047,1047,"Domain expertise","Understands the context of the business, its processes, data and priorities. Applies data science techniques to present, communicate and disseminate data science products effectively, appropriately and with high impact. Uses the most appropriate medium to visualise data to tell compelling and actionable stories relevant for business goals. Maintains a user focus to design solutions that meet user needs, taking account of agreed cross-government ethics standards.",,
45,45,2018-07-02T17:11:10Z,1046,1046,"Digital perspective","Understands how the digital economy is changing user behaviour and the government landscape. Is able to make informed decisions based on user needs, available technology and value for money. Has knowledge of the wider digital economy and advances in technology.",,
44,44,2018-07-02T17:11:10Z,1045,1045,"Development process optimisation","Identifies and explores opportunities for service and business improvement. Drives the analysis, identification, prioritisation and implementation of improvements and efficiencies, thereby ensuring that the organisation derives maximum value from services. This includes recognising the potential for automation of processes, determining costs and benefits of new approaches and managing change or assisting implementation where needed.",,
43,43,2018-07-02T17:11:10Z,1044,1044,"Development process optimisation (management)","Management of software engineering capability to produce services efficiently and effectively.",,
42,42,2018-07-02T17:11:10Z,1043,1043,"Developing data science capability","Continuously develops data science knowledge, utilising multiple sources. Shares data science practices across departments and in industry, promoting professional development and use of best practice across all capabilities identified for data scientists. Focuses on recruitment and induction of data scientists.",,
41,41,2018-07-02T17:11:10Z,1042,1042,"Design secure systems","Able to design secure system architectures through the application of patterns and principles, to meet user needs whilst managing risks. Able to identify security issues in system architectures.",,
40,40,2018-07-02T17:11:10Z,1041,1041,"DDaT perspective","Demonstrates an understanding of user-centered design, technology and data perspectives. Understands the range of available technology choices and makes informed decisions based on user need and value for money. Understands the variety and complexities of digital contexts and designs services to meet them. Has knowledge of the wider digital economy and advances in technology.",,
39,39,2018-07-02T17:11:10Z,1040,1040,"Data standards","Develops and sets data standards for an organisation. Communicates the business benefit of data standards, championing and governing those standards across the organisation.",,
38,38,2018-07-02T17:11:10Z,1039,1039,"Data science innovation","Recognises and exploits business opportunities to ensure more efficient and effective ways to use data science. Explores ways of utilising new data science tools and techniques to tackle business and organisational challenges. Demonstrates strong intellectual curiosity with an interdisciplinary approach, drawing on innovation in academia and industry.",,
37,37,2018-07-02T17:11:10Z,1038,1038,"Data modelling","Produces data models and understands where to use different types of data models. Understands different tools and is able to compare between different data models. Able to reverse engineer a data model from a live system. Understands industry recognised data modelling patterns and standards.",,
36,36,2018-07-02T17:11:10Z,1037,1037,"Data integration design","Develops fit for purpose, resilient, scalable and future-proof data services to meet user needs. Has a demonstrable understanding of how to expose data from systems (for example, through APIs), link data from multiple systems and deliver streaming services.",,
35,35,2018-07-02T17:11:10Z,1036,1036,"Data innovation","Recognises and exploits business opportunities to ensure more efficient and effective performance of organisations. Explores new ways of conducting business and organisational processes.",,
34,34,2018-07-02T17:11:10Z,1035,1035,"Data governance","Understands data governance and how it works in relation to other organisational governance structures. Participates in or delivers the assurance of a service.",,
33,33,2018-07-02T17:11:10Z,1034,1034,"Data engineering and manipulation","Works with other technologists and analysts to integrate and separate data feeds in order to map, produce, transform and test new scalable data products that meet user needs. Has a demonstrable understanding of how to expose data from systems (for example, through APIs), link data from multiple systems and deliver streaming services. Works with other technologists and analysts to understand and make use of different types of data models. Understands and can make use of different data engineering tools for repeatable data processing and is able to compare between different data models. Understands how to build scalable machine learning pipelines and combine feature engineering with optimisation methods to improve the data product performance.",,
32,32,2018-07-02T17:11:10Z,1033,1033,"Data development process","Integrates and separates data feeds in order to map, produce, transform, and test new data products.",,
31,31,2018-07-02T17:11:10Z,1032,1032,"Data communication","Uses the most appropriate medium to visualise data to tell compelling and actionable stories relevant for business goals. Presents, communicates and disseminates data appropriately and with high impact.",,
30,30,2018-07-02T17:11:10Z,1031,1031,"Data analysis and synthesis","Translates data into valuable insights that inform decisions. Involves teams in analytics and synthesis to increase consensus and challenge assumptions. Identifies and utilises the most appropriate analytical techniques. Has an understanding of analytical tools and is numerate. Is aware of and keeps up to date with advances in digital analytics tools and data manipulation products. Collects, collates, cleanses, synthesises and interprets data to derive meaningful and actionable insights.",,
29,29,2018-07-02T17:11:10Z,1030,1030,"Customer service management","Manages customer service functions, including responding to issue reports, information requests, access. Uses results of customer satisfaction measurements to improve services and has successful relationships with customers.",,
28,28,2018-07-02T17:11:10Z,1029,1029,"Continuity management","Provides service continuity planning and support. This includes identification of information, systems which support critical business processes, the assessment of risks to those systems’ availability, integrity and confidentiality as well as the co-ordination of planning, designing, testing and maintenance procedures and contingency plans to address exposures and maintain agreed levels of continuity.",,
27,27,2018-07-02T17:11:10Z,1028,1028,"Continual service improvement","Identifies and explores opportunities for service and business improvement. Drives the analysis, identification, prioritisation and implementation of improvements and efficiencies, thereby ensuring that the organisation derives maximum value from services. This includes recognising the potential for automation of processes, determining costs and benefits of new approaches and managing change or assisting implementation where needed.",,
26,26,2018-07-02T17:11:10Z,1027,1027,"Community collaboration","Contributes to the work of the community, building successful teams through understanding team styles and influencing as well as motivating team members. Gives and receives constructive feedback, facilitating the feedback loop. Facilitates conflict resolution within teams, ensures the team is transparent and that the work is understood externally. Able to help teams maintain a focus on delivery while being aware of the importance of professional development.",,
25,25,2018-07-02T17:11:10Z,1026,1026,"Communicating information","Able to communicate effectively across organisational, technical and political boundaries, understanding the context. Makes complex and technical information and language simple and accessible for non-technical audiences. Able to advocate and communicate what a team does to create trust and authenticity and can respond to challenge.",,
24,24,2018-07-02T17:11:10Z,1025,1025,"Communicating between the technical and non-technical (security architect)","Understands security concepts deeply enough to engage with security technologists and communicate in a language that is appropriate to audience. Able to respond to challenge.",,
23,23,2018-07-02T17:11:10Z,1024,1024,"Communicating between the technical and non-technical (data)","Is able to communicate effectively across organisational, technical and political boundaries, understanding the context. Makes complex and technical information and language simple and accessible for non-technical audiences. Is able to advocate and communicate what a team does to create trust and authenticity, and can respond to challenge.",,
22,22,2018-07-02T17:11:10Z,1023,1023,"Communicating between the technical and non-technical","Able to communicate effectively across organisational, technical and political boundaries, understanding the context. Able to advocate and communicate what a team does to create trust and authenticity. Can successfully react and respond to challenge.",,
21,21,2018-07-02T17:11:10Z,1022,1022,"Communicating analysis and insight","Uses the most appropriate medium to visualise data to tell compelling and actionable stories relevant for business goals. Presents, communicates and disseminates analysis and recommendations effectively, appropriately and with high impact.",,
20,20,2018-07-02T17:11:10Z,1021,1021,"Commercial management","Able to support effective budget management within the constraints of the project. Retains a continued awareness of the budget against actual cost incurred.",,
