index-entry-number,entry-number,entry-timestamp,key,"information-sharing-agreement-0001",name,purpose,"information-sharing-benefits",legal-power-disclosure,disclosed-information,controllers,controller-names,"information-sharing-method",processors,processor-names,retention-period,start-date,end-date,review-date,contact,areas,area-names
30,30,2019-06-23T16:28:59Z,28,28,"Pilot data share between Salford City Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Salford City Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:SLF",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"https://www.salford.gov.uk/your-council/council-and-decision-making/freedom-of-information-act/request-information/",,"Salford City Council"
29,29,2019-06-23T16:28:59Z,27,27,"Pilot data share between Rotherham Metropolitan Borough Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Rotherham Metropolitan Borough Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:ROT",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,IGU@rotherham.gov.uk,,"Rotherham Metropolitan Borough Council"
28,28,2019-06-23T16:28:59Z,26,26,"Pilot data share between North Hertfordshire District Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop North Hertfordshire District Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:NHE",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"datacontroller@north-herts.gov.uk",,"North Hertfordshire District Council"
27,27,2019-06-23T16:28:59Z,25,25,"Pilot data share between Newham Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Newham Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:NWM",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"information.governance@newham.gov.uk",,"Newham Council"
26,26,2019-06-23T16:28:59Z,24,24,"Pilot data share between Medway Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Medway Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:MDW",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,gdpr@medway.gov.uk,,"Medway Council"
25,25,2019-06-23T16:28:59Z,23,23,"Pilot data share between Manchester City Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Manchester City Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:MAN",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"informationcompliance@manchester.gov.uk",,"Manchester City Council"
24,24,2019-06-23T16:28:59Z,22,22,"Pilot data share between Lewes District Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Lewes District Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:LEE",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"foi@lewes-eastbourne.gov.uk",,"Lewes District Council"
23,23,2019-06-23T16:28:59Z,21,21,"Pilot data share between Kirklees Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Kirklees Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:KIR",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"freedom.info@kirklees.gov.uk",,"Kirklees Council"
22,22,2019-06-23T16:28:59Z,20,20,"Pilot data share between Royal Borough of Kensington and Chelsea and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Royal Borough of Kensington and Chelsea's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:KEC",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,foi@rbkc.gov.uk,,"Royal Borough of Kensington and Chelsea"
21,21,2019-06-23T16:28:59Z,19,19,"Pilot data share between Islington Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Islington Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:ISL",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,foia@islington.gov.uk,,"Islington Council"
20,20,2019-06-23T16:28:59Z,18,18,"Pilot data share between Eastbourne Borough Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Eastbourne Borough Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:EAS",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"foi@lewes-eastbourne.gov.uk",,"Eastbourne Borough Council"
19,19,2019-06-23T16:28:59Z,17,17,"Pilot data share between Ealing Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Ealing Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:EAL",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"foirequests@ealing.gov.uk",,"Ealing Council"
18,18,2019-06-23T16:28:59Z,16,16,"Pilot data share between Dudley Metropolitan Borough Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Dudley Metropolitan Borough Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:DUD",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"Information.governance@dudley.gov.uk",,"Dudley Metropolitan Borough Council"
17,17,2019-06-23T16:28:59Z,15,15,"Pilot data share between Coventry City Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Coventry City Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:COV",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,infogov@coventry.gov.uk,,"Coventry City Council"
16,16,2019-06-23T16:28:59Z,14,14,"Pilot data share between Cornwall Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Cornwall Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:CON",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"dataprotection@cornwall.gov.uk",,"Cornwall Council"
15,15,2019-06-23T16:28:59Z,13,13,"Pilot data share between Carmarthenshire District Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Carmarthenshire District Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;principal-local-authority:CMN",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"foia@carmarthenshire.gov.uk",,"Carmarthenshire District Council"
14,14,2019-06-23T16:28:59Z,12,12,"Pilot data share between Brighton and Hove City Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Brighton and Hove City Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:BNH",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"freedomofinformation@brighton-hove.gov.uk",,"Brighton and Hove City Council"
13,13,2019-06-23T16:28:59Z,11,11,"Pilot data share between Bradford Metropolitan District Council and HMRC to manage and reduce Council Tax debt","To demonstrate the value of sharing local authority council tax debt data with HMRC to reduce and manage council tax debt. The pilot data share will help to 
manage and reduce council tax arrears; develop Bradford Metropolitan District Council's recovery procedures; identify customers whose circumstances make them vulnerable and provide them with appropriate advice and support; and enforce appropriate recovery action.","Increase in Council Tax debt recovered
Increase of in-year collection rate
identification of vulnerable debtors who can be signposted for assistance within or without the council, where they engage with the Local Authority;
Increase in Council Tax debt recovery due to knowledge of PAYE and self-assessment information","information-sharing-agreement-powers-and-objectives-0001:6","Name, address and contact or forwarding address of Council Tax customers who have received a liability order for failure to pay Council Tax disclosed to HMRC; and HMRC to supply PAYE and Self Assessment data","government-organisation:D25;local-authority-eng:BRD",,"Government Secure Email","government-organisation:D25",,P1Y,2019-03-29,2020-03-28,2020-03-28,"council.tax@bradford.gov.uk",,"Bradford Metropolitan District Council"
